category,recipe_name,recipe_url,description,ingredients,directions,serving,nutrition
Breakfast,Apple Cinnamon Baked Oatmeal Recipe,https://www.eatright.org/recipes/breakfast/apple-cinnamon-baked-oatmeal-recipe,['This make-ahead dish is handy to heat up and have for a quick healthy breakfast or snack. You can add a touch more brown sugar if you like it sweeter and a splash of milk for more creaminess.'],['1½ cups fat-free milk or soy milk ½ cup packed brown sugar ½ cup egg substitute or egg whites 1 tablespoon melted trans-fat-free margarine ½ teaspoon cinnamon 2 cups rolled oats (not instant) 1 teaspoon baking powder 1½ cups chopped apples'],"Preheat oven to 350°F (176°C).,In a small bowl mix the milk, brown sugar, egg substitute or whites, margarine and cinnamon.,In a larger bowl, combine oats and baking powder.,Pour the wet mixture into the bowl with the oats; add apples and stir to combine.,Spoon the mixture into a 8-by-8-inch pan coated with cooking spray and bake for 30 to 40 minutes, until the top is firm and a toothpick comes out clean in the center.",['Serving size: 1 square Serves 9'],['Calories: 160; Total fat: 3g; Saturated fat: < 1g; Sodium: 80mg; Total Carbohydrate: 30g; Dietary Fiber: 3g; Sugars: 18g; Protein 4g; Vitamin A: 248 IU; Vitamin C: 1.5 mg; Calcium: 56mg.']
Breakfast,Sweet Breakfast Couscous Recipe,https://www.eatright.org/recipes/breakfast/sweet-breakfast-couscous-recipe,"Sweet and flavorful fruit is combined with couscous, pumpkin seeds and maple syrup for a quick and easy breakfast.,Prep Time:5 minutesCooking Time:15 minutes",['2 cups fresh raspberries ½ cup raisins ½ cup unsweetened shredded coconut ½ cup raw pumpkin seeds ¼ cup (72 milliliters) maple syrup 4½ cups cooked couscous'],,['Servings: 8 Serving Size: 1 cup (144 grams)'],['Calories: 220; Total Fat: 6g; Saturated Fat: 2g; Cholesterol: 0mg; Sodium: 8mg; Carbohydrate: 37g; Fiber: 4g; Sugar: 12g; Protein: 7g; Potassium: 258mg; Phosphorus: 147mg.']
Breakfast,Chocolate Almond Butter Muffins with Dried Cherries Recipe,https://www.eatright.org/recipes/breakfast/chocolate-almond-butter-muffins-with-dried-cherries-recipe,"Satisfy a sweet tooth with fluffy chocolate muffins made with vegan ingredients.,Prep Time:15 minutesCooking Time:15 minutes","['Nonstick cooking spray ¾ cup (160 milliliters) vanilla soy milk 2 teaspoons (10 milliliters) apple cider vinegar 1 cup all-purpose flour, unbleached 1 cup white whole-wheat flour ⅓ cup cocoa powder 1 teaspoon cinnamon 2 teaspoons baking powder 1 teaspoon baking soda ¼ teaspoon salt ½ cup dried cherries, unsweetened ½ cup mini dairy-free chocolate chips, divided ½ cup canned black beans, drained and rinsed ⅓ cup almond butter ⅓ cup (80 milliliters) maple syrup ½ cup applesauce, unsweetened 3 tablespoons (45 milliliters) light olive oil ½ teaspoon (2 milliliters) almond extract']","Preheat oven to 375°F (191°C). Spray 12 muffin cups with nonstick cooking spray.,In small bowl, stir together soy milk and vinegar and set aside. To a large bowl, add all-purpose flour, white whole-wheat flour, cocoa powder, cinnamon, baking powder, baking soda, salt, dried cherries and ¼ cup chocolate chips. Stir well and set aside.,To a blender, add black beans, almond butter, maple syrup, applesauce, olive oil and almond extract, plus the soy milk and vinegar mixture. Blend on high for about 10 seconds or until smooth. Add wet mixture to the dry ingredients and stir until just combined.,Portion evenly into muffin cups and top with remaining chocolate chips, pressing them lightly into the batter. Bake for 15 minutes. Let cool for a few minutes before serving.",['Serves: 12 Serving size: 1 muffin (64 grams)'],"['238 calories, 11g total fat, 3g saturated fat, 0mg cholesterol, 188mg sodium, 33g carbohydrate, 5g fiber, 10g sugar, 5g protein, 274mg potassium, NA phosphorus']"
Breakfast,Tuna Hash Recipe,https://www.eatright.org/recipes/breakfast/tuna-hash-recipe,"This robust and easily customizable breakfast recipe incorporates affordable ingredients.,Prep Time: 5 minutesCooking Time: 25 minutes","['4 cups frozen potatoes, diced 3 tablespoons (36 milliliters) canola oil, divided ½ teaspoon sea salt, divided 4 cups frozen tri-colored pepper and onion blend 1 teaspoon paprika ½ teaspoon black pepper 1 teaspoon garlic powder ¼ teaspoon cayenne pepper 1 12-ounce can tuna in water, drained 4 large eggs Dried parsley to taste (optional)']","Preheat oven to 450°F (232°C). Coat frozen potatoes with 2 tablespoons canola oil and ¼ teaspoon sea salt. Spread potatoes in a single layer on a baking sheet. Roast for 20 minutes, stirring potatoes after 10 minutes.,Heat 1 tablespoon oil in a cast-iron or oven-safe skillet over medium-high heat. Add ¼ teaspoon sea salt, pepper and onion blend, paprika, black pepper, garlic powder, cayenne pepper and tuna. Cook for 7 minutes, stirring occasionally.,Reduce heat to low and stir occasionally for about 12 minutes or until potatoes are done. Remove potatoes from oven and add to pepper and tuna mixture. Toss to combine.,Reduce oven to 400°F (204°C). Using the back of a spoon, make four wells in hash mixture.,Crack 1 egg into each well and bake in oven until eggs are cooked through and both the yolk and white are firm. Remove from oven and garnish with parsley.,Serve immediately.",['Serves 4 Serving Size: 1 cup tuna mixture (191 grams) and 1 cooked egg (36 grams) Calories: 371; Total Fat: 17g; Saturated Fat: 3g; Cholesterol: 185mg; Sodium: 570mg; Carbohydrate: 36g; Fiber: 4g; Sugar: 3g; Protein: 22g; Potassium: N/A; Phosphorus: N/A.'],"['This recipe originally appeared in Food & Nutrition Magazine ® , published by the Academy of Nutrition and Dietetics.']"
Breakfast,Brown Rice Breakfast Risotto Recipe,https://www.eatright.org/recipes/breakfast/brown-rice-breakfast-risotto-recipe,"Traditionally made with Arborio rice and eaten for dinner, this hearty version of risotto is made with brown rice and served for breakfast.,Prep Time:8 hoursCooking Time:30 minutes","['1 cup short-grain brown rice ½ tablespoon (3 milliliters) olive oil ¼ cup yellow onion, finely diced 1½ cups frozen butternut squash, cubed 1 teaspoon rubbed sage ¼ teaspoon garlic powder ¼ teaspoon salt 1¾ cups (441 milliliters) low-sodium vegetable broth 1½ cups fresh baby spinach leaves, packed ½ ounce Parmesan cheese 4 large eggs, cooked (optional)']","Soak brown rice in water overnight, or for at least 8 hours, in a medium-sized glass bowl. Remove water from rice with strainer.,Heat oil in a large saucepan over medium heat. Add onion and sauté 3 to 4 minutes, or until translucent.,Add butternut squash, sage, garlic powder and salt. Sauté 2 minutes. Add soaked brown rice and vegetable broth.,Turn heat to medium-high and allow liquid to come to a boil. Reduce heat to medium-low and cover with a lid. Stir occasionally. Allow to simmer for 15 to 20 minutes or until brown rice is al dente.,Add spinach and grate Parmesan cheese into risotto. If using, cook eggs to your liking.,To serve, divide risotto evenly between four bowls and top each with a cooked egg.","['Serves 4 Serving Size: ¾ cup risotto (177 grams) plus optional 1 egg (50 grams) Calories: 308; Total Fat: 9g; Saturated Fat: 2.5g; Cholesterol: 216mg; Sodium: 391mg; Carbohydrate: 48g; Fiber: 5g; Sugar: 3g; Protein: 13g; Potassium: N/A; Phosphorus: N/A. This recipe originally appeared in Food & Nutrition Magazine ® , published by the Academy of Nutrition and Dietetics.']",[]
Breakfast,Cannellini Cashew Breakfast Bars Recipe,https://www.eatright.org/recipes/breakfast/cannellini-cashew-breakfast-bars-recipe,"Pantry staples including canned beans, dried fruit, nuts and nut butter come together in a sweet and salty breakfast treat to enjoy all week.,Prep Time:15 minutesCooking Time:20 minutes","['Cooking spray 2½ cups old-fashioned oats ½ cup unsweetened coconut flakes ½ cup raw unsalted sunflower kernels 1 cup roasted unsalted cashews ½ cup dried cherries ¼ cup mini chocolate chips 1 teaspoon kosher salt 1 teaspoon ground cinnamon 1 cup pitted medjool dates ½ cup natural creamy cashew butter 1 cup canned cannellini beans, drained and rinsed ½ cup (131 milliliters) unsweetened applesauce 2 teaspoons (9 milliliters) pure vanilla extract ¼ teaspoon flaky sea salt, for topping']","Preheat oven to 350°F (176°C). Lightly coat a 13-by-9-inch pan with cooking spray. Mix oats, coconut, sunflower kernels, cashews, dried cherries, chocolate chips, kosher salt and cinnamon in a large bowl.,Place dates, cashew butter, beans, applesauce and vanilla extract in a food processor and blend until smooth. Add the blended ingredients to the bowl with dry ingredients and stir.,Spread onto the prepared pan and sprinkle evenly with flaky sea salt. Bake for 20 minutes.,Cool completely and slice into 12 bars. Wrap each bar with plastic wrap and store in an airtight container in the refrigerator for up to one week.",['Serves 12 Serving Size: 1 bar (103 grams) Calories: 358; Total Fat: 19g; Saturated Fat: 4g; Cholesterol: 0mg; Sodium: 247mg; Carbohydrate: 44g; Fiber: 6g; Sugar: 20g; Protein: 8g; Potassium: 455mg; Phosphorus: N/A.'],"['This recipe originally appeared in Food & Nutrition Magazine ® , published by the Academy of Nutrition and Dietetics.']"
Breakfast,Savory Mahi-Mahi and Egg Breakfast Sandwich Recipe,https://www.eatright.org/recipes/breakfast/savory-mahi-mahi-and-egg-breakfast-sandwich-recipe,"Kick-start the day with a savory sandwich made of herb-seared mahi-mahi, fried egg and sautéed vegetables on toasted ciabatta bread.,Prep Time: 10 minutesCooking Time: 20 minutes","['2½ tablespoons (36 milliliters) vegetable oil, divided 1¾ cups green bell pepper, sliced 1¾ cups red bell pepper, sliced 1 cup yellow onion, sliced 1 cup baby portabella mushrooms, washed and sliced 1 tablespoon chives, minced 4 (6-ounce) mahi-mahi fillets 1 teaspoon garlic powder 1 teaspoon dried rosemary 1 teaspoon pepper ¼ teaspoon salt 4 large eggs 4 ciabatta rolls, sliced in half, toasted']","To a large nonstick skillet over medium heat, add 2 tablespoons oil.,Add peppers, onions, mushrooms and chives and sauté 7 minutes until vegetables are tender and onions are translucent. Place in a bowl and set aside.,Season fish with garlic powder, rosemary, pepper and salt.,In the same skillet over medium heat, heat ½ tablespoon oil and add fish fillets.,Sear for 4 minutes, or until browned on the bottom and sides. Flip fish and sear for 4 minutes. Cook until a minimum internal temperature of 145°F (63°C) is reached. Transfer to a serving platter and set aside.,In the same skillet over low heat, add eggs one at a time. Cook slowly until whites are set and yolks begin to thicken but are not hard, about 3 minutes. Carefully flip over eggs and cook until whites and yolks are firm.,To assemble, place ¼ cup vegetable mixture, 1 fish fillet and 1 fried egg on 1 half ciabatta roll. Top with the other half of the roll. Repeat to assemble 4 sandwiches.",['Serves : 4 Serving Size: 1 sandwich (439 grams)'],"['517 calories, 18g total fat, 3g saturated fat, 229mg cholesterol, 626mg sodium, 65g carbohydrate, 6g fiber, 8g sugar, 29g protein, 782mg potassium, 343mg phosphorus']"
Breakfast,Sweet Wheat Berry Breakfast Recipe,https://www.eatright.org/recipes/breakfast/sweet-wheat-berry-breakfast-recipe,"Start the day with a dish of cooked wheat berries, fresh fruit, spices and yogurt.,Prep Time:20 minutesCooking Time:15 minutes","['1 cup raw wheat berries, rinsed 1 cup red pear, diced 1 cup red grapes, diced 1 teaspoon ground cinnamon ½ teaspoon ground nutmeg 2½ cups vanilla yogurt']","Rinse wheat berries in strainer and place in a pot with 2½ cups water.,Bring to boil, then cover and simmer until wheat berries are tender and most water is absorbed, about 15 minutes.,Remove from heat and drain any remaining water.,Place wheat berries in a medium bowl. Mix in diced pears and grapes.,Stir in cinnamon and nutmeg.,To serve, place ½ cup wheat berry blend in bowl and top with ¼ cup vanilla yogurt.",['Serves : 10 Serving Size: ½ cup wheat berry blend with ¼ cup vanilla yogurt (68 grams)'],"['140 calories, 1g total fat, 1g saturated fat, 3mg cholesterol, 38mg sodium, 28g carbohydrate, 4g fiber, 12g sugar, 6g protein, 249mg potassium, N/A phosphorus']"
Breakfast,Carrot Pancakes Recipe,https://www.eatright.org/recipes/breakfast/carrot-pancakes-recipe,"Full of nutritious carrots and carrot cake spices, these pancakes are a breakfast treat. Serve with maple syrup or nut butter.,Prep Time:15 minutesCooking Time:15 minutes","['3 large carrots, washed and peeled 2 cups all-purpose flour 2 teaspoons baking powder ¼ teaspoon salt 2 teaspoons ground cinnamon ½ teaspoon ground nutmeg ¼ cup packed brown sugar ¼ cup (52 milliliters) whole milk 1½ cups (375 milliliters) buttermilk 1 teaspoon (4 milliliters) vanilla extract 2 large eggs ¼ cup unsalted butter Crushed pecans (optional)']","Using the small side of a box grater, finely grate carrots, then set aside.,In a large bowl, stir together flour, baking powder, salt, cinnamon and nutmeg.,In a separate medium mixing bowl, whisk together brown sugar, whole milk, buttermilk, vanilla extract and eggs.,Add shredded carrots to the buttermilk mixture and whisk to combine.,Add flour mixture to the buttermilk and carrot mixture and fold to combine.,Heat a griddle over medium-high heat.,Add 1 tablespoon butter and let it melt evenly across the surface.,Pour ⅓ cup batter onto the griddle and spread it into a circle, about ½-inch thick.,Cook until bottom is golden brown, about 3 minutes, then flip.,Repeat with remaining butter and batter.,To serve, place pancakes on a plate and top with crushed pecans and other toppings, if desired.",['Serves 6 Serving size: 2 pancakes (130 grams)'],"['324 calories, 12g total fat, 6g saturated fat, 86mg cholesterol, 338mg sodium, 46g carbohydrate, 2g fiber, 12g sugar, 8g protein, 262mg potassium, 180mg phosphorus']"
Breakfast,Whole-Wheat Pineapple Pancakes with Blueberry Compote Recipe,https://www.eatright.org/recipes/breakfast/whole-wheat-pineapple-pancakes-with-blueberry-compote-recipe,"Delicious and satisfying whole-wheat pancakes are full of pineapple and warm spices. Serve with blueberry compote.,Prep Time: 20 minutesCooking Time: 30 minutes","['2 (8-ounce) cans crushed pineapple 2 cups frozen blueberries 2 tablespoons sugar, divided 1½ teaspoons ground ginger, divided 1 cup whole-wheat flour 2 teaspoons baking powder 1½ teaspoons ground cinnamon 1 teaspoon ground cardamom ½ teaspoon baking soda ½ teaspoon salt ¾ cup (180 milliliters) 2% milk 2 tablespoons (30 milliliters) canola oil 1 large egg Cooking spray']","Place a mesh strainer over a bowl and drain crushed pineapple, reserving both the liquid and pineapple.,In a 1-quart saucepan set over medium heat, combine blueberries, pineapple juice, 1 tablespoon sugar and ½ teaspoon ground ginger. Bring to a boil and reduce heat to low.,Using a potato masher, crush blueberries slightly to release their juices. Simmer until reduced by half, about 20 minutes. Set aside.,In a medium mixing bowl, whisk together remaining 1 tablespoon sugar, 1 teaspoon ground ginger, flour, baking powder, cinnamon, cardamom, baking soda and salt. Set aside.,In a small mixing bowl, stir together crushed pineapple, milk, oil and egg.,Pour pineapple mixture into dry ingredients and stir until just combined but not over-mixed.,Spray a nonstick skillet with cooking spray and place over medium heat. When skillet is hot, ladle ½ cup batter into the pan, as many times as will fit in the pan without touching.,Cook on one side until golden brown, about 2 to 3 minutes. Flip and cook until golden brown and the center of the pancake is cooked through, about 2 to 3 minutes.,Serve pancakes with warm blueberry compote.",['Serves : 6 Serving Size: 1 pancake (110 grams) and 3 tablespoons compote (45 grams)'],"['245 calories, 7g total fat, 1g saturated fat, 35mg cholesterol, 536mg sodium, 43g carbohydrate, 5g fiber, 21g sugar, 6g protein, 277mg potassium, 180mg phosphorus']"
